"Code Commune","Libellé des communes","Typo degré de Densité","Région","Population municipale 2017","Part population Dense (1)","Part population Densité Intermédiaire (2)","Part population Peu dense (3)","Part population Très peu dense (4)",,,,
01296,Pirajoux,3,84,408,0.00 %,0.00 %,66.27 %,33.73 %,,,,
01297,Pizay,3,84,820,0.00 %,0.00 %,99.77 %,0.23 %,,,,
01298,Plagne,4,84,132,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01299,Le Plantay,3,84,564,0.00 %,0.00 %,67.63 %,32.37 %,,,,
01301,Polliat,3,84,2511,0.00 %,0.00 %,94.22 %,5.78 %,,,,
01302,Pollieu,4,84,159,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01303,Poncin,3,84,1703,0.00 %,0.00 %,82.10 %,17.90 %,,,,
01304,Pont-d'Ain,3,84,2964,0.00 %,0.00 %,99.83 %,0.17 %,,,,
01305,Pont-de-Vaux,3,84,2258,0.00 %,0.00 %,99.86 %,0.14 %,,,,
01306,Pont-de-Veyle,3,84,1625,0.00 %,0.00 %,99.87 %,0.13 %,,,,
01307,Port,2,84,849,0.00 %,94.99 %,5.01 %,0.00 %,,,,
01308,Pougny,3,84,812,0.00 %,0.00 %,99.72 %,0.28 %,,,,
01309,Pouillat,4,84,88,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01310,Prémeyzel,4,84,248,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01311,Prémillieu,4,84,45,0.00 %,0.00 %,0.00 %,100.00 %,,,,
01313,Prévessin-Moëns,2,84,8233,0.00 %,93.08 %,6.92 %,0.00 %,,,,
01314,Priay,3,84,1729,0.00 %,0.00 %,97.85 %,2.15 %,,,,
01317,Ramasse,3,84,324,0.00 %,0.00 %,98.55 %,1.45 %,,,,
01318,Rancé,3,84,727,0.00 %,0.00 %,99.72 %,0.28 %,,,,
01319,Relevant,3,84,463,0.00 %,0.00 %,91.53 %,8.47 %,,,,
01320,Replonges,3,84,3717,0.00 %,0.91 %,98.80 %,0.29 %,,,,
01321,Revonnas,3,84,905,0.00 %,0.00 %,99.67 %,0.33 %,,,,
01322,Reyrieux,2,84,4797,0.00 %,90.78 %,8.40 %,0.82 %,,,,
01323,Reyssouze,3,84,980,0.00 %,0.00 %,99.70 %,0.30 %,,,,
