numero_UAI,dénomination_principale,Dénomination_complémentaire,code_postal_UAI,localité_acheminement,departement,nature_uai,libelle_court,nature libellé,Ministère tutelle ,UAIDTO,ACADCO
0624182J,ANTENNE DE CFA,REGIONAL MFR- SAMER,62830,SAMER,062,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,AGRICULTURE,1-Sep-94,09
0624476D,ANTENNE DE CFA,CFA ACADEMIQUE - LP ROBESPIERR,62300,LENS,062,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-17,09
0624470X,ANTENNE DE CFA,CFA ACADEMIQUE - LP DARRAS,62800,LIEVIN,062,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-16,09
0741722V,ANT DU CFA,IFSI DU CENTRE HOSPITALIER,74100,ANNEMASSE,074,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,SANTE ET SOLIDARITE NATIONALE,1-Sep-12,08
0460728S,CTR FORMATION APPRENTIS AGRIC,ANTENNE DE FIGEAC CFAA DU LOT,46100,FIGEAC,046,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,AGRICULTURE,1-Sep-09,16
0711919A,ANT CFA AGRICOLE,MFR DE BOURGOGNE,71250,MAZILLE,071,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,AGRICULTURE,1-Sep-07,07
0595343M,ANTENNE DE CFA,CMA HDF - URMA ANTENNE DE LILL,59011,LILLE CEDEX,059,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-79,09
0597111J,ANTENNE DE CFA,FORMASUP - UNIV LILLE SITE UFR,59655,VILLENEUVE D ASCQ CEDEX,059,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-19,09
0597112K,ANTENNE DE CFA,FORMASUP - UNIV LILLE SITE UFR,59650,VILLENEUVE D ASCQ,059,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-19,09
0561924M,ANTENNE DE CFA,UNREP - LYCEE LA TOUCHE,56801,PLOERMEL CEDEX,056,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,AGRICULTURE,1-Sep-10,14
0142430R,ANTENNE DE CFA,ANT CFAI SITE DE VIRE,14500,VIRE NORMANDIE,014,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-19,05
0831726A,ANTENNE DE CFA,HLJ/IMSAT DE DRAGUIGNAN,83078,TOULON CEDEX 9,083,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-16,23
0831580S,ANTENNE CFA REGIONAL,DES ARCS,83460,LES ARCS,083,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,AGRICULTURE,1-Sep-01,23
0772321E,UFA UTEC MARNE LA VALLEE,HOTELLERIE-RESTAURATION-TOURIS,77184,EMERAINVILLE,077,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-92,24
0841102S,ANTENNE DE CFA,MFR PACA LA DENOVES,84170,MONTEUX,084,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jun-06,02
0762518Z,ANTENNE DE CFA,CMA 76 - SITE DE DIEPPE,76208,DIEPPE CEDEX,076,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Oct-79,21
0831604T,ANTENNE DE CFA,SILLANS,83690,SILLANS LA CASCADE,083,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-01,23
0831605U,ANTENNE DE CFA,INTERCONSULAIRE MEDITERRANEE C,83130,LA GARDE,083,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-01,23
0811140Z,ANT CFA AGRICOLE,RATTACHE AU LEGTA D'ALBI,81000,ALBI,081,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,AGRICULTURE,6-Dec-88,16
0352995R,ANTENNE DE CFA,DU LYCÉE PRIVÉ SAINTE-THÉRÈSE,35130,LA GUERCHE DE BRETAGNE,035,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Oct-20,14
0755885P,ANNEXE DE CFA,ANNEXE CFA RH,75008,PARIS,075,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jan-17,01
0755902H,ANTENNE CFA DE LA CCIR PARIS I,SUP DE VENTE SITE DE PARIS CHA,75017,PARIS,075,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-16,01
0755920C,ANTENNE CFA DE LA CCIR PARIS I,ITESCIA PARIS CHAMPERRET,75017,PARIS,075,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-17,01
0755924G,ANTENNE DE CFA,INSTITUT KELIOS,75020,PARIS,075,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Mar-05,01
0783697V,ANTENNE DE CFA,ESSYM CCI PARIS IDF SITE DE MO,78180,MONTIGNY LE BRETONNEUX,078,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-15,25
0783706E,ANTENNE DE CFA,METIERS DU CYCLE ET DU MOTOCYC,78280,GUYANCOURT,078,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-18,25
0783705D,ANTENNE DE CFA,FORMATION SUPERIEURES DU GARAC,78280,GUYANCOURT,078,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-18,25
0802155H,ANTENNE DE CFA,UFA DE L'ACHEULEEN,80094,AMIENS CEDEX 3,080,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-14,20
0802188U,ANTENNE DE CFA,UFA SAINT-MARTIN AMIENS,80043,AMIENS CEDEX 1,080,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-19,20
0831607W,ANTENNE DE CFA,LA GARDE METIERS DU SPORT,83130,LA GARDE,083,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-01,23
0831639F,ANT DE CFA IFSI TOULON,METIERS DE L'HOSPITALISATION,83130,LA GARDE,083,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,SANTE ET SOLIDARITE NATIONALE,26-May-06,23
0841106W,ANTENNE DE CFA,METIERS POSTE LP SCHUMAN,84084,AVIGNON CEDEX 2,084,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jun-06,02
0841109Z,ANTENNE DE CFA,EPURE MED (U AVIGNON IUT),84911,AVIGNON CEDEX 9,084,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jun-06,02
0841126T,ANTENNE DE CFA SANTE,METIER DU SOCIAL IMF,84140,AVIGNON,084,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,SANTE ET SOLIDARITE NATIONALE,1-Sep-08,02
0841155Z,ANTENNE CFA REGIONAL,D'AVIGNON,84000,AVIGNON,084,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,AGRICULTURE,1-Sep-14,02
0841166L,ANTENNE DE CFA,CERI MASTER INFORMATIQUE,84911,AVIGNON CEDEX 9,084,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-15,02
0851613S,ANTENNE CFA.A.,AGRILIA FORMATION,85503,LES HERBIERS CEDEX,085,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,AGRICULTURE,5-Nov-09,17
0881721T,CFAI LORRAINE-API,ANTENNE DE THAON-LES-VOSGES DU,88150,CAPAVENIR VOSGES,088,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-00,12
0881766S,CFAI LORRAINE-API,ANTENNE DE SAINT DIÉ DU CFAI L,88100,STE MARGUERITE,088,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jan-17,12
0922668A,ANTENNE DE CFA,METIERS SANTE ET SOLIDARITE,92700,COLOMBES,092,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,SANTE ET SOLIDARITE NATIONALE,1-Oct-92,25
0922824V,ANTENNE DE CFA,CEPROC,92390,VILLENEUVE LA GARENNE,092,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-18,25
0922806A,ANTENNE DE CFA,SACEF,92390,VILLENEUVE LA GARENNE,092,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-17,25
0942205L,ANTENNE DE CFA,ESTP,94234,CACHAN CEDEX,094,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-05,24
0942204K,ANTENNE DE CFA,INFA,94736,NOGENT SUR MARNE CEDEX,094,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-05,24
0942263Z,ANTENNE DE CFA,CAMAS ORLY,94150,RUNGIS,094,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-07,24
9741592M,CENTHOR NORD,COULEURS MELANGEES,97404,ST DENIS CEDEX,974,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,16-Aug-12,28
0222043B,ANTENNE DE CFA,DU LYCÉE FULGENCE-BIENVENÜE LO,22606,LOUDEAC CEDEX,022,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Oct-20,14
0292393U,ANTENNE DE CFA,CFA EN ANTENNE PIERRE GUEGUIN,29182,CONCARNEAU CEDEX,029,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,14
0624509P,ANTENNE DE CFA,AFTRAL - CFA TRANSPORT ET LOGI,62232,ANNEZIN,062,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,09
0731518D,ANTENNE DU CFA IFA DES ALPES,IPAC CHAMBERY GRAND LAC,73377,LE BOURGET DU LAC CEDEX,073,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-05,08
0772320D,ANTENNE DE CFA,INFORMATIQUE ET TECHNOLOGIES N,77184,EMERAINVILLE,077,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,17-Sep-92,24
0772549C,ANTENNE DE CFA,COMMERCE-SERVICES-COMPTABILITE,77184,EMERAINVILLE,077,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-98,24
0783723Y,ANTENNE DE CFA,METIERS DE L'AERIEN,78117,TOUSSUS LE NOBLE,078,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-19,25
0802170Z,ANTENNE DE CFA,UFA LAMARCK,80301,ALBERT CEDEX,080,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-17,20
0831523E,ANTENNE DE CFA,INTERUNIV EPURE MED IUT TOULON,83038,TOULON CEDEX 9,083,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-97,23
0831642J,ANTENNE DE CFA,GONFARON METIER DU SPORT,83590,GONFARON,083,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,22-Jun-06,23
0831707E,ANTENNE DE CFA,HLJ/IMSAT VAL D'ARGENS,83460,LES ARCS,083,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-15,23
0841179A,ANTENNE DE CFA,IFRIA  ISEMA,84000,AVIGNON,084,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-17,02
0851667A,ANTENNE DE CFA,ECOLE POLYTECHNIQUE,85000,LA ROCHE SUR YON,085,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-17,17
0851666Z,ANT CFA,FERME EXPÉRIMENTALE - AGRILIA,85000,LA ROCHE SUR YON,085,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,AGRICULTURE,1-Sep-16,17
0875074T,ANNEXE DE CFA,,87190,MAGNAC LAVAL,087,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,AGRICULTURE,1-Sep-11,22
0881722U,ANTENNE DE CFA,MAISONS FAMILIALES DE LORRAINE,88290,SAULXURES SUR MOSELOTTE,088,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-00,12
9711271E,ANT CFA,DES MFR DE GUADELOUPE - BAIE M,97122,BAIE MAHAULT,971,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,AGRICULTURE,1-Sep-16,32
9730520C,ANT CFA SITE LP ELIE CASTOR,DU CFA REGIONAL LPO MELKIOR GA,97388,KOUROU CEDEX,973,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-18,33
0802171A,ANTENNE DE CFA,UFA ROMAIN ROLLAND,80088,AMIENS CEDEX 2,080,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-17,20
0811344W,ANNEXE DE CFA,,81240,ST AMANS SOULT,081,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,AGRICULTURE,1-Sep-05,16
0811359M,UFA BI-DEPARTEMENTALE,AVEYRON TARN CFA ACADEMIE DE T,81400,CARMAUX,081,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jan-16,16
0922667Z,ANTENNE DE CFA,ESI,92000,NANTERRE,092,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-05,25
0922786D,ANTENNE DE CFA,ESSYM CCI PARIS IDF SITE DE GE,92230,GENNEVILLIERS,092,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-16,25
9730447Y,ANT CFA SITE CLG GRAN MAN DIFO,DU CFA REGIONAL LPO MELKIOR GA,97370,MARIPASOULA,973,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-11,33
0021796S,ANTENNE DE CFA,PROMEO CFAI PICARDIE SITE DE S,02200,BILLY SUR AISNE,002,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,2-Mar-76,20
0142447J,ANTENNE DE CFA,TRANSPORT LOGISTIQUE - AFTRAL,14500,VIRE NORMANDIE,014,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,05
0171239E,ANTENNE DE CFA,CHAMBRE DES METIERS,17500,ST GERMAIN DE LUSIGNAN,017,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,16-Feb-76,13
0222038W,ANTENNE DE CFA,CFA EN ANTENNE LA CLOSERIE SAI,22410,ST QUAY PORTRIEUX,022,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,14
0222040Y,ANTENNE DE CFA,CFA EN ANTENNE CHAPTAL SAINT-B,22015,ST BRIEUC CEDEX 1,022,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,14
0222042A,ANTENNE DE CFA,DU LYCÉE PROFESSIONNEL JEAN-MO,22070,ST BRIEUC CEDEX 3,022,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Oct-20,14
0222044C,ANTENNE DE CFA,DU LYCÉE E.-FREYSSINET SAINT-B,22023,ST BRIEUC CEDEX 1,022,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Oct-20,14
0281186M,LIGUE DE L'ENSEIGNEMENT DU 28,ANT CFA SANITAIRE ET SOCIAL,28110,LUCE,028,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,SANTE ET SOLIDARITE NATIONALE,1-Sep-20,18
0292392T,ANTENNE DE CFA,LYCÉE LA-CROIX-ROUGE - LA-SALL,29229,BREST CEDEX 2,029,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,14
0292394V,ANTENNE DE CFA,CFA EN ANTENNE LAËNNEC PONT-L',29120,PONT L ABBE,029,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,14
0292395W,ANTENNE DE CFA,CFA EN ANTENNE E.R.E.A. QUIMPE,29107,QUIMPER CEDEX,029,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,14
0292397Y,ANTENNE DE CFA,DU LYCÉE PRIVÉ LE LIKÈS - QUIM,29196,QUIMPER CEDEX,029,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Oct-20,14
0292398Z,ANTENNE DE CFA,DU LYCÉE PRIVÉ LE PARACLET - Q,29018,QUIMPER CEDEX,029,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Oct-20,14
0292399A,ANTENNE DE CFA,DU LYCÉE JEAN-CHAPTAL QUIMPER,29018,QUIMPER CEDEX,029,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Oct-20,14
0292400B,ANTENNE DE CFA,DU LYCÉE PROFESSIONNEL ROZ GLA,29391,QUIMPERLE CEDEX,029,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Oct-20,14
0352994P,ANTENNE DE CFA,DU LYCÉE PRIVÉ J.-B. LE TAILLA,35304,FOUGERES CEDEX,035,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Oct-20,14
0411090M,ANTENNE DE CFA,CFAI CENTRE - VAL DE LOIRE,41000,BLOIS,041,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jul-20,18
0352991L,ANTENNE DE CFA,CFA EN ANTENNE E.R.E.A. REDON,35603,REDON CEDEX,035,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,14
0352992M,ANTENNE DE CFA,CFA EN ANTENNE JEAN-JAURES REN,35002,RENNES CEDEX,035,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,14
0352993N,ANTENNE DE CFA,DU LYCÉE BEAUMONT - REDON,35601,REDON CEDEX,035,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Oct-20,14
0561998T,ANTENNE DE CFA,CFA EN ANTENNE EMILE-JAMES ETE,56410,ETEL,056,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,14
0597185P,ANTENNE DE CFA,FORMASUP - U-LILLE - IPAG LILL,59024,LILLE CEDEX,059,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,09
0597186R,ANTENNE DE CFA,FORMASUP - U-LILLE - FACULTE D,59000,LILLE,059,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,09
0597187S,ANTENNE DE CFA,FORMASUP - U-LILLE - IAE USM -,59000,LILLE,059,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,09
0597189U,ANTENNE DE CFA,FORMASUP - UNIV ARTOIS  - FCU,59500,DOUAI,059,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-20,09
0624508N,ANTENNE DE CFA,JEAN BOSCO - UFA ESCAP ST DENI,62501,ST OMER CEDEX,062,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jul-20,09
0602008G,ANTENNE DE CFA,PROMEO CFAI PICARDIE SITE DE C,60280,VENETTE,060,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-96,20
0597153E,ANTENNE DE CFA,JEAN BOSCO - UFA SAINT MARTIN,59100,ROUBAIX,059,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jul-19,09
0597175D,ANTENNE DE CFA,JEAN BOSCO - JEAN PAUL II DE D,59220,DENAIN,059,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jul-20,09
0597176E,ANTENNE DE CFA,JEAN BOSCO - SAINT JUDE D'ARME,59280,ARMENTIERES,059,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jul-20,09
0597177F,ANTENNE DE CFA,JEAN BOSCO - SAINT JACQUES D'H,59190,HAZEBROUCK,059,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jul-20,09
0597178G,ANTENNE DE CFA,JEAN BOSCO - ST VINCENT DE PAU,59120,LOOS,059,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jul-20,09
0673056H,ANTENNE DE CFA,,67000,STRASBOURG,067,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-10,15
0642119F,ANTENNE DE CFA,TRANSPORT LOGISTIQUE AFTRAL LO,64140,LONS,064,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-18,04
0741502F,CFA MFR LE VILLARET,CFA MAISON FAMILIALE RURALE LE,74230,THONES,074,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,22-Jan-93,08
0752325V,ANTENNE DE CFA,L'EA LES ECOLES DES ECO - ACTI,75971,PARIS CEDEX 20,075,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,19-Mar-75,01
0755217N,ANTENNE DE CFA,ANTENNE DU CFA IGS,75010,PARIS,075,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jan-05,01
0755218P,ANTENNE DE CFA,ANTENNE DU CFA CERELOG,75010,PARIS,075,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-05,01
0755219R,CTR DE FORMATION D APPRENTIS,ANTENNE DU CFA OMNISPORTS IDF,75016,PARIS,075,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Jan-01,01
0755220S,CTR DE FORMATION D APPRENTIS,ANTENNE DU CFA ESC LILLE,75019,PARIS,075,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Oct-05,01
0755228A,ANTENNE DE CFA,HORIZON ANTENNE DU CFA SOCIAL,75015,PARIS,075,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-06,01
0755534H,ANTENNE DE CFA,INSTITUT D'ETUDES SUP DES ARTS,75002,PARIS,075,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-09,01
0755535J,ANTENNE DE CFA,CEFLU,75009,PARIS,075,620,ANNEXE CFA,ANNEXE DE CENTRE FORMATION D APPRENTIS,MINISTERE DE L'EDUCATION NATIONALE,1-Sep-09,01
